荷主ID,荷主名,倉庫ID,倉庫名,ブロックID,ブロック名称,ブロック略称,列（段）,連（列）,段（連）,業務区分,引当条件,取引先名,ロケバーコード,ロケ,梱包形態ID,梱包形態名称,ハイネス
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,11,卸,指定した業態に優先して取り置く,,*29000102911*,B-001-029-11,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,11,卸,指定した業態に優先して取り置く,,*29000202911*,B-002-029-11,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,11,卸,指定した業態に優先して取り置く,,*29000302911*,B-003-029-11,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,12,卸,指定した業態に優先して取り置く,,*29000102912*,B-001-029-12,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,12,卸,指定した業態に優先して取り置く,,*29000202912*,B-002-029-12,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,12,卸,指定した業態に優先して取り置く,,*29000302912*,B-003-029-12,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,13,卸,指定した業態に優先して取り置く,,*29000102913*,B-001-029-13,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,13,卸,指定した業態に優先して取り置く,,*29000202913*,B-002-029-13,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,13,卸,指定した業態に優先して取り置く,,*29000302913*,B-003-029-13,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,14,卸,指定した業態に優先して取り置く,,*29000102914*,B-001-029-14,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,14,卸,指定した業態に優先して取り置く,,*29000202914*,B-002-029-14,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,14,卸,指定した業態に優先して取り置く,,*29000302914*,B-003-029-14,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,15,卸,指定した業態に優先して取り置く,,*29000102915*,B-001-029-15,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,15,卸,指定した業態に優先して取り置く,,*29000202915*,B-002-029-15,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,15,卸,指定した業態に優先して取り置く,,*29000302915*,B-003-029-15,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,16,卸,指定した業態に優先して取り置く,,*29000102916*,B-001-029-16,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,16,卸,指定した業態に優先して取り置く,,*29000202916*,B-002-029-16,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,16,卸,指定した業態に優先して取り置く,,*29000302916*,B-003-029-16,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,17,卸,指定した業態に優先して取り置く,,*29000102917*,B-001-029-17,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,17,卸,指定した業態に優先して取り置く,,*29000202917*,B-002-029-17,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,17,卸,指定した業態に優先して取り置く,,*29000302917*,B-003-029-17,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,18,卸,指定した業態に優先して取り置く,,*29000102918*,B-001-029-18,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,18,卸,指定した業態に優先して取り置く,,*29000202918*,B-002-029-18,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,18,卸,指定した業態に優先して取り置く,,*29000302918*,B-003-029-18,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,19,卸,指定した業態に優先して取り置く,,*29000102919*,B-001-029-19,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,19,卸,指定した業態に優先して取り置く,,*29000202919*,B-002-029-19,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,19,卸,指定した業態に優先して取り置く,,*29000302919*,B-003-029-19,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,20,卸,指定した業態に優先して取り置く,,*29000102920*,B-001-029-20,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,20,卸,指定した業態に優先して取り置く,,*29000202920*,B-002-029-20,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,20,卸,指定した業態に優先して取り置く,,*29000302920*,B-003-029-20,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,21,卸,指定した業態に優先して取り置く,,*29000102921*,B-001-029-21,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,21,卸,指定した業態に優先して取り置く,,*29000202921*,B-002-029-21,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,21,卸,指定した業態に優先して取り置く,,*29000302921*,B-003-029-21,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,22,卸,指定した業態に優先して取り置く,,*29000102922*,B-001-029-22,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,22,卸,指定した業態に優先して取り置く,,*29000202922*,B-002-029-22,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,22,卸,指定した業態に優先して取り置く,,*29000302922*,B-003-029-22,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,23,卸,指定した業態に優先して取り置く,,*29000102923*,B-001-029-23,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,23,卸,指定した業態に優先して取り置く,,*29000202923*,B-002-029-23,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,23,卸,指定した業態に優先して取り置く,,*29000302923*,B-003-029-23,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,24,卸,指定した業態に優先して取り置く,,*29000102924*,B-001-029-24,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,24,卸,指定した業態に優先して取り置く,,*29000202924*,B-002-029-24,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,24,卸,指定した業態に優先して取り置く,,*29000302924*,B-003-029-24,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,25,卸,指定した業態に優先して取り置く,,*29000102925*,B-001-029-25,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,25,卸,指定した業態に優先して取り置く,,*29000202925*,B-002-029-25,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,25,卸,指定した業態に優先して取り置く,,*29000302925*,B-003-029-25,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,26,卸,指定した業態に優先して取り置く,,*29000102926*,B-001-029-26,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,26,卸,指定した業態に優先して取り置く,,*29000202926*,B-002-029-26,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,26,卸,指定した業態に優先して取り置く,,*29000302926*,B-003-029-26,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,029,27,卸,指定した業態に優先して取り置く,,*29000102927*,B-001-029-27,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,029,27,卸,指定した業態に優先して取り置く,,*29000202927*,B-002-029-27,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,029,27,卸,指定した業態に優先して取り置く,,*29000302927*,B-003-029-27,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,01,卸,指定した業態に優先して取り置く,,*29000103001*,B-001-030-01,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,01,卸,指定した業態に優先して取り置く,,*29000203001*,B-002-030-01,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,01,卸,指定した業態に優先して取り置く,,*29000303001*,B-003-030-01,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,02,卸,指定した業態に優先して取り置く,,*29000103002*,B-001-030-02,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,02,卸,指定した業態に優先して取り置く,,*29000203002*,B-002-030-02,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,02,卸,指定した業態に優先して取り置く,,*29000303002*,B-003-030-02,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,03,卸,指定した業態に優先して取り置く,,*29000103003*,B-001-030-03,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,03,卸,指定した業態に優先して取り置く,,*29000203003*,B-002-030-03,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,03,卸,指定した業態に優先して取り置く,,*29000303003*,B-003-030-03,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,04,卸,指定した業態に優先して取り置く,,*29000103004*,B-001-030-04,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,04,卸,指定した業態に優先して取り置く,,*29000203004*,B-002-030-04,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,04,卸,指定した業態に優先して取り置く,,*29000303004*,B-003-030-04,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,05,卸,指定した業態に優先して取り置く,,*29000103005*,B-001-030-05,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,05,卸,指定した業態に優先して取り置く,,*29000203005*,B-002-030-05,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,05,卸,指定した業態に優先して取り置く,,*29000303005*,B-003-030-05,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,06,卸,指定した業態に優先して取り置く,,*29000103006*,B-001-030-06,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,06,卸,指定した業態に優先して取り置く,,*29000203006*,B-002-030-06,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,06,卸,指定した業態に優先して取り置く,,*29000303006*,B-003-030-06,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,07,卸,指定した業態に優先して取り置く,,*29000103007*,B-001-030-07,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,07,卸,指定した業態に優先して取り置く,,*29000203007*,B-002-030-07,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,07,卸,指定した業態に優先して取り置く,,*29000303007*,B-003-030-07,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,08,卸,指定した業態に優先して取り置く,,*29000103008*,B-001-030-08,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,08,卸,指定した業態に優先して取り置く,,*29000203008*,B-002-030-08,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,08,卸,指定した業態に優先して取り置く,,*29000303008*,B-003-030-08,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,09,卸,指定した業態に優先して取り置く,,*29000103009*,B-001-030-09,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,09,卸,指定した業態に優先して取り置く,,*29000203009*,B-002-030-09,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,09,卸,指定した業態に優先して取り置く,,*29000303009*,B-003-030-09,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,10,卸,指定した業態に優先して取り置く,,*29000103010*,B-001-030-10,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,10,卸,指定した業態に優先して取り置く,,*29000203010*,B-002-030-10,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,10,卸,指定した業態に優先して取り置く,,*29000303010*,B-003-030-10,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,030,11,卸,指定した業態に優先して取り置く,,*29000103011*,B-001-030-11,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,030,11,卸,指定した業態に優先して取り置く,,*29000203011*,B-002-030-11,3,ケース,H
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,030,11,卸,指定した業態に優先して取り置く,,*29000303011*,B-003-030-11,3,ケース,H
