荷主ID,荷主名,倉庫ID,倉庫名,ブロックID,ブロック名称,ブロック略称,列（段）,連（列）,段（連）,業務区分,引当条件,取引先名,ロケバーコード,ロケ,梱包形態ID,梱包形態名称
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,001,11,卸,指定した業態に優先して取り置く,,*29000400111*,B-004-001-11,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,001,12,卸,指定した業態に優先して取り置く,,*29000400112*,B-004-001-12,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,002,11,卸,指定した業態に優先して取り置く,,*29000400211*,B-004-002-11,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,002,12,卸,指定した業態に優先して取り置く,,*29000400212*,B-004-002-12,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,003,11,卸,指定した業態に優先して取り置く,,*29000400311*,B-004-003-11,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,003,12,卸,指定した業態に優先して取り置く,,*29000400312*,B-004-003-12,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,01,卸,指定した業態に優先して取り置く,,*29000400401*,B-004-004-01,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,02,卸,指定した業態に優先して取り置く,,*29000400402*,B-004-004-02,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,03,卸,指定した業態に優先して取り置く,,*29000400403*,B-004-004-03,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,04,卸,指定した業態に優先して取り置く,,*29000400404*,B-004-004-04,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,05,卸,指定した業態に優先して取り置く,,*29000400405*,B-004-004-05,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,06,卸,指定した業態に優先して取り置く,,*29000400406*,B-004-004-06,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,004,07,卸,指定した業態に優先して取り置く,,*29000100407*,B-001-004-07,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,004,07,卸,指定した業態に優先して取り置く,,*29000200407*,B-002-004-07,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,004,07,卸,指定した業態に優先して取り置く,,*29000300407*,B-003-004-07,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,07,卸,指定した業態に優先して取り置く,,*29000400407*,B-004-004-07,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,001,004,08,卸,指定した業態に優先して取り置く,,*29000100408*,B-001-004-08,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,002,004,08,卸,指定した業態に優先して取り置く,,*29000200408*,B-002-004-08,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,003,004,08,卸,指定した業態に優先して取り置く,,*29000300408*,B-003-004-08,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,08,卸,指定した業態に優先して取り置く,,*29000400408*,B-004-004-08,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,09,卸,指定した業態に優先して取り置く,,*29000400409*,B-004-004-09,3,ケース
2,アンカー・ジャパン㈱,1,加須センター,290,ネステナ,B,004,004,10,卸,指定した業態に優先して取り置く,,*29000400410*,B-004-004-10,3,ケース
