"契約者ID","契約者名","荷主ID","荷主名","商品ID","商品名","在庫キー１","在庫キー１名称","在庫キー２","在庫キー２名称","在庫キー３","在庫キー３名称","在庫キー４","在庫キー４名称","バーコード","検索名称","検索名称2","仕入単価","引当不可日数","大分類","中分類","小分類","ロット管理フラグ","有効期限区分","温度帯区分","小売価格","セット構成区分","削除フラグ","登録日時","変更日時","在庫区分","入荷期限日数","入荷日管理フラグ","商品予備項目００１","商品予備項目００２","商品予備項目００３","商品予備項目００４","商品予備項目００５","商品予備項目００６","商品予備項目００７","商品予備項目００８","商品予備項目００９","商品予備項目０１０","部門ID","小売価格2","小売価格3","小売価格4","小売価格5","梱包形態ID","梱包形態名","入数","画像URL","英語名","重量","シリアル登録フラグ","商品梱包形態バーコード","在庫発注点(下限)","在庫発注点(上限)","発注点管理除外フラグ","発注数","切り出しパターン","縦（SKU単位）","横（SKU単位）","高さ（SKU単位）","重量（SKU単位）","仕入単価（SKU単位）","小売価格（SKU単位）","小売価格２（SKU単位）","小売価格３（SKU単位）","小売価格４（SKU単位）","小売価格５（SKU単位）","SKU予備項目001","SKU予備項目002","SKU予備項目003","SKU予備項目004","SKU予備項目005","SKU予備項目006","SKU予備項目007","SKU予備項目008","SKU予備項目009","SKU予備項目010","OCRロットフォーマットID","OCRシリアルフォーマットID","OCR有効期限フォーマットID"
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000642","G40Hy/G40Hy+ モップモジュール","***","***","***","***","***","***","***","***","4571651001648","4571651001648｜20002000642","14571651001645","0","0","60","","","1","01","01","0","01","0","20250403170948","20250403170948","01","0","0","","7.5000","54.00","57.60","14.40","0.04479000000","","4571651001648","","","","","","","0","1","バラ","1","","","0","0","4571651001648","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000642","G40Hy/G40Hy+ モップモジュール","***","***","***","***","***","***","***","***","14571651001645","4571651001648｜20002000642","14571651001645","0","0","60","","","1","01","01","0","01","0","20250403170948","20250403170948","01","0","0","","7.5000","54.00","57.60","14.40","0.04479000000","","4571651001648","","","","","","","0","3","ケース","60","","","0","0","14571651001645","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000673","T2320-左ホイール","***","***","***","***","***","***","***","***","4571651001815","4571651001815｜20002000673","14571651001812","0","0","30","","","1","01","01","0","01","0","20250404144953","20250404144953","01","0","0","","4.3200","28.20","37.00","28.80","0.03005000000","","4571651001815","","","","","","","0","1","バラ","1","","","0","0","4571651001815","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000673","T2320-左ホイール","***","***","***","***","***","***","***","***","14571651001812","4571651001815｜20002000673","14571651001812","0","0","30","","","1","01","01","0","01","0","20250404144953","20250404144953","01","0","0","","4.3200","28.20","37.00","28.80","0.03005000000","","4571651001815","","","","","","","0","3","ケース","30","","","0","0","14571651001812","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000697","T2320-右ホイール","***","***","***","***","***","***","***","***","4571651001808","4571651001808｜20002000697","14571651001805","0","0","30","","","1","01","01","0","01","0","20250404144855","20250404144855","01","0","0","","6.0000","28.20","37.20","29.00","0.03042000000","","4571651001808","","","","","","","0","1","バラ","1","","","0","0","4571651001808","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000697","T2320-右ホイール","***","***","***","***","***","***","***","***","14571651001805","4571651001808｜20002000697","14571651001805","0","0","30","","","1","01","01","0","01","0","20250404144855","20250404144855","01","0","0","","6.0000","28.20","37.20","29.00","0.03042000000","","4571651001808","","","","","","","0","3","ケース","30","","","0","0","14571651001805","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000757","G40/G40+ ダストボックス","***","***","***","***","***","***","***","***","4571651001631","4571651001631｜20002000757","14571651001638","0","0","30","","","1","01","01","0","01","0","20250403164332","20250403164332","01","0","0","","9.6600","46.30","46.70","36.40","0.07870000000","","4571651001631","","","","","","","0","1","バラ","1","","","0","0","4571651001631","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000757","G40/G40+ ダストボックス","***","***","***","***","***","***","***","***","14571651001638","4571651001631｜20002000757","14571651001638","0","0","30","","","1","01","01","0","01","0","20250403164332","20250403164332","01","0","0","","9.6600","46.30","46.70","36.40","0.07870000000","","4571651001631","","","","","","","0","3","ケース","30","","","0","0","14571651001638","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000792","T2353-サイドブラシモーターL","***","***","***","***","***","***","***","***","4571651012507","4571651012507｜20002000792","14571651012504","0","0","20","","","1","01","01","0","01","0","20251114151329","20251114151329","01","0","0","","1.7000","23.40","32.30","23.00","0.01738386000","","4571651012507","","","","","","","0","1","バラ","1","","","0","0","4571651012507","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
"4110","株式会社　ワイズ・パートナーズ","2","アンカー・ジャパン","20002000792","T2353-サイドブラシモーターL","***","***","***","***","***","***","***","***","14571651012504","4571651012507｜20002000792","14571651012504","0","0","20","","","1","01","01","0","01","0","20251114151329","20251114151329","01","0","0","","1.7000","23.40","32.30","23.00","0.01738386000","","4571651012507","","","","","","","0","3","ケース","20","","","0","0","14571651012504","0","0","0","0","","","","","","0","0","0","0","0","0","","","","","","","","","","","","",""
