"recordtype","tranid","trandate","item_internalid","item_quantity","LOT","‘qŒÉID","•iŽ¿‹æ•ªID"
"Other","DL20250423001588","20250722","A1689022","20","K202504175","1","9"
"Other","DL20250423001591","20250722","A1689022","20","K202504175","1","9"
"Other","DL20250423001596","20250722","A1689022","20","K202504175","1","9"
"Other","DL20250423001594","20250722","A1689022","20","K202504175","1","9"
"Other","DL20250423001598","20250722","A1689022","20","K202504175","1","9"
"Other","DL20250423001601","20250722","A1689022","20","K202504175","1","1"
"Other","DL20250423001602","20250722","A1689022","20","K202504175","1","1"
"Other","DL20250423001606","20250722","A1689022","20","K202504175","1","1"
"Other","DL20250423001604","20250722","A1689022","20","K202504175","1","1"
"Other","DL20250501000138","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000167","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000134","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000166","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000117","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000139","20250722","A1689022","18","X202504241","1","1"
"Other","DL20250501000155","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000158","20250722","A1689022","32","X202504241","1","1"
"Other","DL20250501000163","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000124","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000147","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000140","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000122","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000115","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000119","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000143","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000133","20250722","A1689022","30","X202504241","1","1"
"Other","DL20250501000165","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000125","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000114","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000154","20250722","A1689022","32","X202504241","1","1"
"Other","DL20250501000116","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000131","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000113","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000164","20250722","A1689022","15","X202504241","1","1"
"Other","DL20250501000146","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000151","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000157","20250722","A1689022","32","X202504241","1","1"
"Other","DL20250501000110","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000127","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000137","20250722","A1689022","32","X202504241","1","1"
"Other","DL20250501000144","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000153","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000112","20250722","A1689022","20","X202504241","1","1"
"Other","DL20250501000107","20250722","A1689022","20","X202504241","1","1"
