"internalid","trandate","itemunit","trackingnumber","item_internalid","item_shipquantity","shiptype"
"DL20250821000962","20250908","","","A8552NQ2","450",""
"DL20250821000962","20250908","","","A8552NQ2","150",""
"DL20250821000962","20250908","","","A87E1011","120",""
"DL20250821000962","20250908","","","A87E1011","360",""
"DL20250821000962","20250908","","","A8489011","270",""
"DL20250821000958","20250908","","","A8553N72","540",""
"DL20250821000958","20250908","","","A8553N72","945",""
"DL20250821000958","20250908","","","A8552N72","1200",""
"DL20250821000958","20250908","","","A8552N72","300",""
"DL20250821000961","20250908","","","A3105057","16",""
"DL20250821000981","20250908","","","A1689032","10",""
"DL20250821000981","20250908","","","A1689052","15",""
"DL20250821000981","20250908","","","A1689052","3",""
"DL20250821000982","20250908","","","A1689032","1687",""
"DL20250821000982","20250908","","","A1689032","33",""
"DL20250821000982","20250908","","","A1689052","1080",""
"DL20250821000982","20250908","","","A1689022","1320",""
"DL20250821000982","20250908","","","A1689022","260",""
"DL20250821000982","20250908","","","A1689012","6980",""
"DL20250821000959","20250908","","","A8553N22","945",""
"DL20250821000959","20250908","","","A8553N22","1890",""
"DL20250821000959","20250908","","","A8553N22","1755",""
"DL20250821000959","20250908","","","A8553N22","270",""
"DL20250821000959","20250908","","","A8553N22","270",""
"TOJP202508200004-001","20250925","4","450306869902","99018000420","30","ç≤êÏ"
"TOJP202508200004-001","20250925","4","450306869902","99018000422","10","ç≤êÏ"
"TOJP202508200004-001","20250925","4","450306869902","99018000032","100","ç≤êÏ"
"TOJP202508200004-001","20250925","4","450306869902","99018000033","100","ç≤êÏ"
"TOJP202508200004-001","20250925","4","450306869902","99018000034","100","ç≤êÏ"
"DL20250828000244","20250904","19","450306852310","A8859011","135","ç≤êÏ"
"DL20250828000244","20250904","19","450306852310","A8859011","405","ç≤êÏ"
"DL20250828000244","20250904","19","450306852310","A3953N81","146","ç≤êÏ"
"DL20250828000244","20250904","19","450306852310","A3953N81","4","ç≤êÏ"
"DL20250828000245","20250904","8","450306852321","A1268025","90","ç≤êÏ"
"DL20250828000245","20250904","8","450306852321","A1268025","150","ç≤êÏ"
"TOJP202508180040-002","20250901","1","450306852133","A91C6511","10","ç≤êÏ"
"TOJP202508180040-003","20250901","1","450306852144","B2692N11","10","ç≤êÏ"
"TOJP202508180041-005","20250901","1","450306852155","A6611Z21","6","ç≤êÏ"
"TOJP202508180041-005","20250901","1","450306852155","A31X1091","10","ç≤êÏ"
